Lab_ID_String,Sample_ID,lake,Collection_Date,Anatoxin A,Cylindrospermopsin,Microcystin LA,Microcystin LF,Microcystin LR,Microcystin LW,Microcystin RR,Saxitoxin,Batch,Analysis Date,%Imidazolidine
07-237,FSL #20 SITE 4 0.5M LFM,FSL #20,2007-05-22,49.3,38.8,89.4,60.6,109,146.9,44.5,191.9,W07054,2008-03-06 0:00,21.310656
07-543,FSL #20 SITE 4 EPI,FSL #20,2007-06-18,0.4,,,,,,,1.1,W07062,2008-03-06 0:00,51.9567
07-284,FSL #20 SITE 4 EPI LD1,FSL #20,2007-06-04,0.2,,,,,,,2.7,W07062,2008-03-06 0:00,35.870442
07-805,FSL #20 SITE 4 EPI LD1,FSL #20,2007-07-02,0.3,,,,,,,,W07107,2008-03-06 0:00,94.497688
07-285,FSL #20 SITE 4 EPI LD2,FSL #20,2007-06-04,,,,,,,,0.4,W07062,2008-03-06 0:00,39.946654
07-806,FSL #20 SITE 4 EPI LD2,FSL #20,2007-07-02,,,,,,,,,W07107,2008-03-06 0:00,111.958264
07-286,FSL #20 SITE 4 EPI LFM,FSL #20,2007-06-04,41.7,17.7,97.2,48.4,119.4,147.5,53.2,136.9,W07062,2008-03-06 0:00,28.585052
07-807,FSL #20 SITE 4 EPI LFM,FSL #20,2007-07-02,64.7,32.9,66.4,15.2,78.6,32.1,60.4,189.1,W07107,2008-03-06 0:00,66.117452
07-1177,FSL 20 SITE 1 EPI,FSL 20 ,2007-04-10,,,,,,,,,W07148,2008-03-06 0:00,98.668872
07-1181,FSL 20 SITE 1 EPI,FSL 20 ,2007-04-24,0.9,,,,,,,,W07148,2008-03-06 0:00,77.26194
07-1187,FSL 20 SITE 1 EPI,FSL 20 ,2007-07-30,0.3,,,,,,,,W07148,2008-03-06 0:00,110.285922
07-1538,FSL 20 SITE 1 EPI,FSL 20 ,2007-09-12,0.8,,,,,,,,W07171,2008-03-06 0:00,70.965918
07-1754,FSL 20 SITE 1 EPI,FSL 20 ,2007-10-11,1.2,,,,,,,1,W07062,2008-03-06 0:00,41.779698
07-1182,FSL 20 SITE 1 HYPO,FSL 20 ,2007-04-24,0.5,,,,,,,,W07148,2008-03-06 0:00,84.850218
07-1188,FSL 20 SITE 1 HYPO,FSL 20 ,2007-07-30,,,,,,,,,W07148,2008-03-06 0:00,79.078286
07-1539,FSL 20 SITE 1 HYPO,FSL 20 ,2007-09-12,0.6,,1.5,,,,,,W07171,2008-03-06 0:00,85.434616
07-1755,FSL 20 SITE 1 HYPO,FSL 20 ,2007-10-10,1.2,,,,,,,0.3,W07062,2008-03-06 0:00,43.535926
07-1178,FSL 20 SITE 2 EPI,FSL 20 ,2007-04-10,0.2,,,,,,,,W07148,2008-03-06 0:00,84.302914
07-1183,FSL 20 SITE 2 EPI,FSL 20 ,2007-04-24,,,,,,,,,W07148,2008-03-06 0:00,105.014618
07-1189,FSL 20 SITE 2 EPI,FSL 20 ,2007-07-30,2.1,,,,,,,,W07148,2008-03-06 0:00,77.436986
07-1540,FSL 20 SITE 2 EPI,FSL 20 ,2007-09-12,0.2,,,,,,,,W07171,2008-03-06 0:00,41.01405
07-1184,FSL 20 SITE 2 HYPO,FSL 20 ,2007-04-24,0.6,,,,,,,,W07148,2008-03-06 0:00,97.306954
07-1190,FSL 20 SITE 2 HYPO,FSL 20 ,2007-07-30,,,,,,,,,W07148,2008-03-06 0:00,80.238758
07-1541,FSL 20 SITE 2 HYPO,FSL 20 ,2007-09-12,0.7,,,,,,,,W07171,2008-03-06 0:00,50.723146
07-1542,FSL 20 SITE 3,FSL 20 ,2007-09-12,0.7,,,,,,,,W07171,2008-03-06 0:00,82.350142
07-1179,FSL 20 SITE 3 EPI,FSL 20 ,2007-04-10,,,,,,,,,W07148,2008-03-06 0:00,106.398854
07-1185,FSL 20 SITE 3 EPI,FSL 20 ,2007-04-24,0.7,,,,,,,,W07148,2008-03-06 0:00,66.891168
07-1191,FSL 20 SITE 3 EPI,FSL 20 ,2007-07-30,0.9,,,,,,,,W07148,2008-03-06 0:00,79.402562
07-1543,FSL 20 SITE 4,FSL 20 ,2007-09-12,1.5,,,,,,,,W07171,2008-03-06 0:00,85.704358
07-1180,FSL 20 SITE 4 EPI,FSL 20 ,2007-04-10,0.3,,,,,,,,W07148,2008-03-06 0:00,93.262284
07-1186,FSL 20 SITE 4 EPI,FSL 20 ,2007-04-24,0.5,,,,,,,,W07148,2008-03-06 0:00,73.504846
07-1192,FSL 20 SITE 4 EPI,FSL 20 ,2007-07-30,,,,,,,,,W07148,,
07-1193,FSL 20 SITE 4 EPI LD1,FSL 20 ,2007-07-30,1.1,,,,,,,,W07148,2008-03-06 0:00,79.320588
07-1194,FSL 20 SITE 4 EPI LD2,FSL 20 ,2007-07-30,0.4,,,,,,,,W07148,2008-03-06 0:00,70.228532
07-1195,FSL 20 SITE 4 EPI LFM,FSL 20 ,2007-07-30,65,27.5,106,23.7,120,86.2,103.8,189.5,W07148,2008-03-06 0:00,63.163402
07-1886,FSL20 SITE 1 EPI,FSL20 ,2007-08-13,0.8,,,,,,,,W07129,2008-03-06 0:00,94.48609
07-1756,FSL20 SITE 2 EPI,FSL20 ,2007-10-10,1,,,,,,,0.3,W07062,2008-03-06 0:00,46.438934
07-1757,FSL20 SITE 2 HYPO,FSL20 ,2007-10-10,1.4,,,,,,,0.8,W07062,2008-03-06 0:00,56.554608
07-1758,FSL20 SITE 3,FSL20 ,2007-10-10,1.9,,,,,,,0.4,W07062,2008-03-06 0:00,47.098752
07-1899,FSL20 SITE 3 EPI LFM,FSL20 ,2007-09-24,71.9,24.3,95.7,19.4,87.6,88,115.1,211.1,W07129,2008-03-06 0:00,84.325764
07-1759,FSL20 SITE 4,FSL20 ,2007-10-10,1,,,,,,,,W07062,2008-03-06 0:00,57.359096
07-1892,FSL20 SITE1 EPI,FSL20 ,2007-09-24,2.9,,,,,,,,W07129,2008-03-06 0:00,78.216832
07-1887,FSL20 SITE1 HYPO,FSL20 ,2007-08-13,,,,,,,,,W07129,2008-03-06 0:00,88.709272
07-1893,FSL20 SITE1 HYPO,FSL20 ,2007-09-24,0.9,,,,,,,,W07129,2008-03-06 0:00,64.929636
